v1,v2,weight
1107,167,1
1107,680,1
1107,1193,1
1107,554,3
1107,64815,1
1107,1202,1
1107,179,1
1107,821,1
1107,188,1
1107,4419,3
1107,966,4
1107,4169,1
1107,1109,1
1107,854,1
1107,3541,1
1107,603,2
1107,4071,1
1107,4337,1
1107,1138,1
1109,905,1
1109,167,1
1109,680,1
1109,1193,1
1109,554,1
1109,64815,1
1109,1202,1
1109,179,1
1109,821,1
1109,188,1
1109,4419,1
1109,966,1
1109,4169,1
1109,854,1
1109,3541,1
1109,603,1
1109,4071,1
1109,4337,1
1109,1138,1
854,905,1
3541,905,1
3541,554,7
3541,821,1
3541,4169,1
3541,854,3
3541,603,7
3541,4071,1
3541,4337,1
603,680,1
603,821,1
603,854,2
10845,905,1
10845,167,2
10845,680,1
10845,1193,1
10845,554,4
10845,64815,2
10845,1202,2
10845,821,1
10845,188,1
10845,4419,5
10845,4169,1
10845,1107,1
10845,1109,1
10845,854,3
10845,3541,2
10845,603,1
10845,4071,1
10845,4337,1
10845,1138,2
4071,905,1
4071,680,2
4071,554,1
4071,64815,1
4071,821,1
4071,4419,2
4071,966,5
4071,4169,1
4071,854,1
4071,603,1
4071,4337,1
106,905,1
106,167,1
106,680,2
106,1193,1
106,554,1
106,64815,1
106,1202,1
106,179,1
106,821,1
106,188,1
106,4419,2
106,966,7
106,4169,1
106,1107,1
106,1109,1
106,854,1
106,3541,1
106,603,1
106,10845,1
106,4071,1
106,4337,1
106,1138,3
4337,905,1
4337,680,1
4337,554,1
4337,64815,1
4337,821,1
4337,4419,1
4337,966,1
4337,854,1
4337,603,1
1138,905,2
1138,167,4
1138,680,3
1138,1193,2
1138,554,6
1138,1202,1
1138,821,1
1138,4169,1
1138,854,1
1138,603,4
1138,4071,1
1138,4337,1
11429,626,1
1076,966,2
1076,167,1
1076,1193,1
1076,905,1
1076,1138,1
7617,966,4
3541,7617,1
1599,7617,1
1599,3541,1
1599,966,1
137,218,1
218,966,3
50822,966,1
50822,603,1
3541,50822,1
3541,4310,2
438,50822,1
438,603,18
4310,50822,1
4310,966,5
4310,438,2
4310,603,2
2687,50822,1
2687,966,1
2687,3541,1
2687,438,1
2687,4310,1
2687,603,1
44,7663,3
438,7663,28
3902,966,3
3902,44,1
3902,7663,2
3902,438,1
314,44,3
8898,966,1
1746,8898,1
3541,8898,1
30197,966,2
30197,7663,1
30197,3541,1
30197,345,1
1462,966,8
1462,7663,2
1462,30197,1
1462,3541,2
1462,345,2
3541,7663,4
345,7663,12
872,966,11
1066,966,4
1066,872,1
1066,7663,1
1066,1078,1
1066,440,1
7663,872,3
1078,872,1
1078,7663,4
1078,440,1
440,966,3
440,872,2
440,7663,2
1014,1138,2
1014,3541,3
1014,966,13
11002,137,1
3493,870,4
1864,668,1
1864,966,1
1864,438,1
668,966,3
438,668,2
4119,7663,1
4119,966,4
1120,35493,1
1120,966,4
1120,2695,1
1120,345,1
1120,61,1
35493,966,14
35493,61,2
2695,35493,1
2695,966,3
2695,345,1
2695,61,1
345,35493,2
345,61,2
61,966,3
2,3724,1
2,3851,1
2,3868,2
2,3493,7
2,41385,1
2,45,5
2,3759,1
2,3890,1
2,438,10
2,314,1
2,4419,6
2,966,25
2,4423,2
2,95,1
2,738,2
2,4084,1
2,892,1
11,2,9
11,3724,1
11,3851,1
11,3868,1
11,3493,3
11,41385,1
11,45,6
11,3759,1
11,3890,1
11,438,9
11,314,1
11,4419,4
11,966,25
11,4423,1
11,1366,1
11,95,1
11,738,2
11,4084,2
11,11639,1
11,892,1
3724,3851,1
3724,3868,2
3724,41385,1
3724,45,1
3724,3759,1
3724,3890,1
3724,438,1
3724,4419,2
3724,966,3
3724,4423,2
3724,95,1
3724,738,1
3724,4084,2
3724,892,1
3851,3868,1
3851,41385,1
3851,45,1
3851,3890,1
3851,438,1
3851,4419,1
3851,966,1
3851,4423,1
3851,95,1
3851,738,1
3851,4084,1
3851,892,1
3868,41385,1
3868,45,1
3868,3890,1
3868,438,2
3868,4419,6
3868,966,7
3868,4423,4
3868,95,1
3868,738,1
3868,4084,3
3868,892,1
3493,3724,1
3493,3851,1
3493,3868,5
3493,41385,5
3493,45,2
3493,3759,1
3493,3890,1
3493,438,40
3493,4423,13
3493,95,1
3493,738,2
3493,4084,10
3493,892,3
41385,45,1
41385,438,3
41385,4419,8
41385,966,11
41385,4423,2
41385,95,1
41385,738,2
41385,892,1
45,966,9
45,95,1
45,738,1
45,892,1
3759,3851,1
3759,3868,1
3759,41385,1
3759,45,1
3759,3890,1
3759,438,1
3759,4419,1
3759,966,1
3759,4423,1
3759,95,1
3759,738,1
3759,4084,1
3759,892,1
3890,41385,1
3890,45,1
3890,438,1
3890,4419,1
3890,966,1
3890,4423,1
3890,95,1
3890,738,1
3890,4084,1
3890,892,1
438,45,2
438,4423,9
438,95,1
438,738,10
438,892,2
314,3724,1
314,3851,1
314,3868,1
314,3493,3
314,41385,2
314,45,1
314,3759,1
314,3890,1
314,438,6
314,4423,2
314,95,1
314,738,3
314,4084,1
314,892,2
4419,45,2
4419,95,1
4419,738,6
4419,892,1
4423,45,1
4423,95,1
4423,738,2
4423,892,2
1366,2,1
1366,3724,1
1366,3851,1
1366,3868,1
1366,3493,1
1366,41385,1
1366,45,1
1366,3759,1
1366,3890,1
1366,438,1
1366,314,1
1366,4419,1
1366,966,1
1366,4423,1
1366,95,1
1366,738,1
1366,4084,1
1366,892,1
95,966,1
738,966,12
738,95,1
738,892,1
100,2,1
100,11,1
100,3724,1
100,3851,1
100,3868,1
100,3493,1
100,41385,1
100,45,1
100,3759,1
100,3890,1
100,438,1
100,314,1
100,4419,2
100,966,2
100,4423,1
100,1366,1
100,95,1
100,738,1
100,10598,1
100,4084,1
100,11639,1
100,892,1
10598,2,1
10598,11,1
10598,3724,1
10598,3851,1
10598,3868,1
10598,3493,1
10598,41385,1
10598,45,1
10598,3759,1
10598,3890,1
10598,438,1
10598,314,1
10598,4419,1
10598,966,1
10598,4423,1
10598,1366,1
10598,95,1
10598,738,1
10598,4084,1
10598,11639,1
10598,892,1
4084,41385,1
4084,45,2
4084,438,7
4084,4419,7
4084,966,21
4084,4423,8
4084,95,1
4084,738,1
4084,892,2
11639,2,1
11639,3724,1
11639,3851,1
11639,3868,1
11639,3493,1
11639,41385,1
11639,45,1
11639,3759,1
11639,3890,1
11639,438,1
11639,314,1
11639,4419,1
11639,966,1
11639,4423,1
